date,temp_avg,dewpoint,pressure,wind_direction,wind_speed,precipitation_1h,precipitation_6h
2025-01-01,7.912499999999999,5.579166666666666,10080.041666666666,228.75,11.625,185,2
2025-01-02,3.420833333333334,1.1583333333333334,10133.791666666666,260.4166666666667,3.0416666666666665,23,80
2025-01-03,2.7624999999999993,0.06666666666666674,10181.041666666666,283.3333333333333,4.958333333333333,14,2
2025-01-04,2.2875,1.2125000000000001,10168.0,187.08333333333334,3.7916666666666665,14,2
2025-01-05,5.020833333333333,4.183333333333334,9939.833333333334,160.0,7.291666666666667,190,90
2025-01-06,8.8,5.945833333333333,9831.958333333334,210.41666666666666,11.166666666666666,15,43
2025-01-07,4.125,1.745833333333333,9961.333333333334,225.83333333333334,7.291666666666667,3,-1
2025-01-08,3.475,0.5583333333333333,10010.291666666666,210.41666666666666,4.420833333333333,2,10
2025-01-09,2.1739130434782608,0.03478260869565219,10032.521739130434,237.3913043478261,4.086956521739131,5,2
2025-01-10,2.7625000000000006,0.25,10171.25,259.5833333333333,3.6666666666666665,23,10
2025-01-11,0.6125000000000002,-0.8958333333333331,10273.333333333334,299.1666666666667,2.0833333333333335,3,2
2025-01-12,2.8124999999999996,0.6791666666666667,10389.0,238.75,1.5,0,0
2025-01-13,0.8166666666666665,-1.2374999999999998,10405.583333333334,192.5,3.045833333333333,0,0
2025-01-14,4.041666666666667,2.8125,10336.791666666666,230.0,4.583333333333333,5,0
2025-01-15,6.925,6.766666666666667,10337.416666666666,270.4583333333333,1.8333333333333333,0,1
2025-01-16,4.208333333333333,4.120833333333333,10363.5,164.58333333333334,3.0833333333333335,0,0
2025-01-17,0.6291666666666668,0.5791666666666669,10371.833333333334,177.08333333333334,2.5,0,-1
2025-01-18,-1.0250000000000001,-1.1833333333333333,10316.0,119.58333333333333,2.629166666666667,0,0
2025-01-19,-0.6208333333333333,-1.1416666666666668,10234.0,152.08333333333334,1.6666666666666667,0,0
2025-01-20,0.3166666666666666,-0.325,10192.791666666666,175.83333333333334,3.5833333333333335,0,0
2025-01-21,0.14166666666666666,-0.10833333333333335,10157.625,167.5,4.0,0,0
2025-01-22,1.8304347826086957,1.326086956521739,10045.136363636364,158.2608695652174,2.6565217391304348,37,3
2025-01-23,5.527272727272728,3.722727272727272,10024.05,234.54545454545453,6.204545454545454,19,29
2025-01-24,7.437500000000001,5.754166666666666,10000.583333333334,199.16666666666666,8.0,38,60
2025-01-25,5.15,3.654166666666667,10040.458333333334,195.83333333333334,2.8791666666666664,9,3
2025-01-26,3.5416666666666665,1.6666666666666667,10029.0,169.58333333333334,5.583333333333333,33,0
2025-01-27,8.504166666666668,5.125,9874.166666666666,188.33333333333334,8.75,56,30
2025-01-28,7.437500000000001,5.1,9887.791666666666,172.91666666666666,7.583333333333333,23,1
2025-01-29,7.162499999999999,5.287499999999999,10009.416666666666,227.5,6.541666666666667,32,40
2025-01-30,5.141666666666667,3.2458333333333336,10160.791666666666,263.3333333333333,3.0416666666666665,0,0
2025-01-31,2.0782608695652174,0.9478260869565216,10269.608695652174,177.82608695652175,2.739130434782609,0,0
2025-02-01,0.9583333333333336,-1.125,10315.083333333334,133.75,2.0,0,0
2025-02-02,-0.0458333333333333,-2.3666666666666667,10256.208333333334,130.83333333333334,2.2083333333333335,0,0
2025-02-03,1.0041666666666667,-0.545833333333333,10263.75,172.08333333333334,2.7083333333333335,0,0
2025-02-04,2.819047619047619,1.276190476190476,10261.42857142857,185.23809523809524,5.523809523809524,0,0
2025-02-05,4.754166666666667,3.462499999999999,10363.625,191.79166666666666,3.375,0,0
2025-02-06,3.9166666666666674,2.3750000000000004,10419.75,91.25,3.7541666666666664,0,0
2025-02-07,3.1608695652173915,-0.5,10296.434782608696,73.47826086956522,7.782608695652174,0,0
2025-02-08,3.866666666666666,0.2416666666666666,10217.458333333334,96.25,4.208333333333333,0,0
2025-02-09,3.921739130434782,0.9434782608695652,10284.434782608696,60.869565217391305,3.8260869565217392,0,0
2025-02-10,2.117391304347826,-0.5478260869565218,10252.826086956522,73.47826086956522,7.782608695652174,23,0
2025-02-11,2.5333333333333337,1.5952380952380953,10172.333333333334,117.61904761904762,5.190476190476191,59,21
2025-02-12,3.6166666666666667,3.0,10179.0,112.91666666666667,2.25,19,31
2025-02-13,1.0458333333333332,-1.4833333333333334,10223.166666666666,45.0,4.0,0,2
2025-02-14,0.21250000000000016,-2.8249999999999997,10278.666666666666,106.66666666666667,2.0,0,0
2025-02-15,1.7291666666666667,-2.4833333333333334,10242.416666666666,116.25,2.4166666666666665,0,0
2025-02-16,0.32916666666666655,-3.5166666666666675,10234.04347826087,78.33333333333333,5.016666666666667,0,0
2025-02-17,-1.5458333333333332,-5.312500000000001,10252.041666666666,73.33333333333333,3.5041666666666664,0,0
2025-02-18,-0.875,-7.058333333333333,10255.708333333334,99.16666666666667,4.958333333333333,0,0
2025-02-19,1.1333333333333333,-6.558333333333333,10215.708333333334,122.91666666666667,5.458333333333333,0,0
2025-02-20,5.928571428571428,3.7809523809523813,10190.52380952381,167.8095238095238,4.904761904761905,7,0
2025-02-21,12.970833333333337,8.824999999999998,10158.166666666666,163.33333333333334,6.083333333333333,0,-1
2025-02-22,9.816666666666666,8.395833333333334,10141.458333333334,191.66666666666666,5.166666666666667,28,7
2025-02-23,9.670833333333333,6.6875,10241.833333333334,196.66666666666666,6.0,0,0
2025-02-24,10.325,7.637499999999999,10146.541666666666,205.83333333333334,7.508333333333333,45,20
2025-02-25,8.049999999999999,6.708333333333333,10133.583333333334,253.33333333333334,3.4583333333333335,0,0
2025-02-26,6.820833333333334,3.75,10141.875,223.33333333333334,4.75,29,0
2025-02-27,5.833333333333332,4.2875,10144.333333333334,263.9130434782609,4.420833333333333,16,33
2025-02-28,4.76875,2.875,10257.0,260.0,3.75,0,3
2025-03-01,4.008333333333335,1.1250000000000002,10338.083333333334,122.08333333333333,2.3333333333333335,0,0
2025-03-02,2.930434782608695,0.22173913043478255,10347.695652173914,146.52173913043478,1.047826086956522,0,0
2025-03-03,2.8416666666666663,0.12916666666666662,10297.625,213.33333333333334,1.4166666666666667,1,1
2025-03-04,3.725000000000001,0.17499999999999985,10264.791666666666,192.91666666666666,1.7916666666666667,0,0
2025-03-05,6.162499999999999,1.1416666666666668,10227.041666666666,215.625,3.4166666666666665,0,0
2025-03-06,8.316666666666666,2.566666666666667,10171.583333333334,168.83333333333334,2.9583333333333335,0,0
2025-03-07,10.341666666666667,4.083333333333334,10157.833333333334,151.66666666666666,3.1666666666666665,0,0
2025-03-08,12.145833333333336,1.816666666666667,10125.375,107.08333333333333,4.041666666666667,0,0
2025-03-09,10.775,3.308333333333334,10057.916666666666,70.83333333333333,2.875,0,0
2025-03-10,9.029166666666667,3.295833333333333,10028.416666666666,44.583333333333336,2.795833333333333,0,0
2025-03-11,5.504166666666666,2.1541666666666672,10039.541666666666,332.0833333333333,4.458333333333333,0,0
2025-03-12,4.35217391304348,1.473913043478261,10005.347826086956,268.7391304347826,3.4826086956521736,11,0
2025-03-13,3.270833333333332,0.5375,10010.25,198.75,2.5833333333333335,0,6
2025-03-14,3.254166666666666,-1.7833333333333332,10103.291666666666,118.33333333333333,3.7916666666666665,0,0
2025-03-15,3.8958333333333335,-1.7416666666666663,10207.083333333334,39.583333333333336,5.55,1,0
2025-03-16,4.683333333333333,0.7000000000000001,10238.666666666666,124.58333333333333,3.670833333333333,0,0
2025-03-17,6.124999999999999,-1.616666666666667,10290.958333333334,62.5,4.833333333333333,0,0
2025-03-18,5.733333333333334,-7.004166666666667,10281.0,98.33333333333333,5.091666666666667,0,0
2025-03-19,8.041666666666666,-1.2833333333333334,10237.125,132.08333333333334,2.9625,0,0
2025-03-20,10.1125,3.441666666666666,10212.5,143.33333333333334,2.0833333333333335,0,0
2025-03-21,14.450000000000003,5.079166666666667,10127.916666666666,103.75,5.458333333333333,0,0
2025-03-22,15.074999999999998,5.325000000000001,10037.25,107.08333333333333,5.083333333333333,0,0
2025-03-23,13.366666666666665,7.666666666666665,10040.458333333334,195.0,3.4583333333333335,0,0
2025-03-24,8.620833333333332,6.337500000000002,10153.416666666666,318.75,3.9166666666666665,0,0
2025-03-25,8.0125,5.3999999999999995,10205.791666666666,274.1666666666667,4.25,0,0
2025-03-26,8.36521739130435,5.308695652173912,10246.04347826087,182.6086956521739,2.960869565217391,0,0
2025-03-27,8.235,4.17,10215.6,203.5,2.205,0,0
2025-03-28,7.87894736842105,5.952631578947369,10122.222222222223,263.1578947368421,4.3578947368421055,4,0
2025-03-29,6.8999999999999995,3.779166666666667,10188.5,275.4166666666667,4.125,0,0
2025-03-30,9.912499999999998,5.454166666666666,10169.291666666666,288.3333333333333,9.533333333333333,2,0
2025-03-31,8.358333333333334,3.5458333333333325,10275.416666666666,213.33333333333334,4.333333333333333,0,0
2025-04-01,8.954166666666666,3.120833333333333,10282.208333333334,64.58333333333333,4.7625,0,0
2025-04-02,11.845833333333333,3.370833333333333,10244.416666666666,69.58333333333333,6.2625,0,0
2025-04-03,14.412500000000001,4.2875,10228.791666666666,96.25,5.516666666666667,0,0
2025-04-04,13.991666666666667,5.054166666666666,10206.041666666666,53.333333333333336,4.4624999999999995,0,0
2025-04-05,10.262500000000001,3.279166666666667,10205.791666666666,47.916666666666664,6.55,0,0
2025-04-06,8.1,-2.591666666666667,10255.041666666666,74.58333333333333,6.008333333333333,0,0
2025-04-07,8.041666666666668,-0.14583333333333326,10269.375,57.916666666666664,3.716666666666667,0,0
2025-04-08,8.77727272727273,1.7727272727272727,10277.904761904761,50.27272727272727,3.7590909090909084,0,0
